Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Unnamed: 63
Arab World,ARB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.81229122603999,118.070826411421,117.32937886300199,114.17548303104401,125.044566219486,138.998382475587,160.551847840182,188.530537872535,220.00916553576,243.813368618176,248.849933874157,283.700733700505,305.844503473237,338.855585064889,366.917830116847,344.57498513165297,339.580122579259,,,
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.801481581367796,47.385412050186396,47.9683122139438,48.5537996369821,49.1432906024403,49.7313888529205,50.309340800861705,50.870307823662,51.414141063237295,51.9462539803902,52.4775760496824,53.0230413855834,53.593371333259,54.18884483549029,54.8042651819552,55.429768053902706,56.0535796602899,56.6660088814575,57.266144246437705,57.863019558097704,58.4684089655453,59.09490641111871,59.7468542055425,60.418446773679506,61.0951493038324,61.7553304842296,62.377574939476204,62.9474253719444,63.45714330167829,63.9080348673461,64.3434562726656,64.713626830804,65.0100485686005,65.373600230934,65.7404975719579,66.149506804725,66.5067752162672,66.8476315932297,67.1637857439307,67.45482308083079,67.7240118245692,67.9767528246495,68.2210764813054,68.4648147397764,68.7124176981728,68.963024519796,69.2133314196132,69.4545305305039,69.67963037282821,69.8850997065308,70.0737747387598,70.2543871810887,70.4362372114167,70.62509660804979,70.8205449472615,71.0218536855315,71.2269084515168,71.43312251544259,,
Arab World,ARB,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",SH.DYN.NCOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0994792716,,,,,22.9322690265571,,,,,21.732880968028198,,,,,20.9534699619605,20.7393440092642,,,
Caribbean small states,CSS,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.696287328852,248.051905434149,269.120375965667,279.561484990624,322.965661273865,349.14441774461307,387.370678858008,435.432802120448,474.699230324248,464.317515400365,488.760449444802,510.819479098544,532.605820763393,550.670385595767,556.66001381985,579.8659096258319,567.215387259962,,,
Caribbean small states,CSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.3724272529181,62.8710464009154,63.3294495844184,63.7443109583877,64.1152615345509,64.4445338564419,64.73665551807821,65.0023119797262,65.2517211092066,65.4943698605051,65.7380989584925,65.9887722575159,66.2476467116411,66.5136227032197,66.7858900162183,67.061926372426,67.3402370433661,67.6140836707048,67.87893535764621,68.1313370672005,68.3675511839151,68.5811374945836,68.7701521788221,68.9360781344842,69.0745487179205,69.188725839049,69.28224052191871,69.3701940885027,69.4333644495929,69.4996389333499,69.5613062140623,69.6175764733575,69.7042058193739,69.7098496005123,69.7536066204663,69.8012740121705,69.8563887068062,69.989095867591,69.9998366346714,70.0929436431977,70.2061383554792,70.3433887554315,70.5748767124281,70.6877441173658,70.89070594948791,71.11048798245379,71.3411519990957,71.5762649585544,71.8086596417793,72.03281068665571,72.2423571578238,72.4347996139973,72.6103629410054,72.7720396634669,72.9209648420438,73.0594206959438,73.190878310418,73.3185494458935,,
Caribbean small states,CSS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",SH.DYN.NCOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.727090145296103,,,,,21.6564486674378,,,,,20.2272205982456,,,,,19.219584224893698,19.08554742118,,,
Central Europe and the Baltics,CEB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.14052534723098,252.201765602104,298.268116403312,372.945199819217,447.062138875974,522.325829671118,580.2462293233921,729.907329939467,926.983170683176,841.59976219257,854.948375457473,906.5228331878461,850.6661931141961,919.770720931887,931.028055040882,816.278432085462,851.236089503038,,,
Central Europe and the Baltics,CEB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.8213886391755,68.2621983438663,68.0069256418108,68.696047369717,69.05248453887529,69.2769975955159,69.52707193397801,69.2727421876991,69.5360253048841,69.27573420198141,69.4469550552236,69.4851657458499,69.9254412645743,70.06777719208961,70.30593936929719,70.1744086942295,70.3191488957891,70.2423731482792,70.14793210613949,70.2393969939587,69.8902444461581,70.37146867325599,70.4551334703053,70.3896117725316,70.3490172357522,70.31275917503861,70.5649178179144,70.6117633312342,70.861708225052,70.7319722597484,70.65633133725859,70.5752213034774,70.7328371314157,70.8459866151448,70.86954394474729,71.02542142828909,71.33605801899509,71.51725806968221,71.8982376759956,72.1845610740875,72.71972472277899,73.0961481937343,73.24241548809209,73.3822527825258,73.73715299612759,73.8383001838611,74.0926027308097,74.2506487210768,74.57595267807791,74.93036392665759,75.29396577863142,75.8884748834282,75.99348860345309,76.3551629869809,76.6756236113045,76.5910702431929,76.9889398347238,77.03396590629491,,
Central Europe and the Baltics,CEB,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",SH.DYN.NCOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4206775022089,,,,,23.595384554103898,,,,,21.395117781254,,,,,19.825964080155302,19.384476895829803,,,
Early-demographic dividend,EAR,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.15083271850939,66.3136337361701,60.2206673253779,66.7854565582881,75.4210541419827,86.39915031738009,95.8944961750999,111.52312887595899,122.716114541343,124.84134012988501,143.39316859932,156.825138815923,162.619659894013,168.54149909858,172.57909861042,175.835460946297,157.547650650788,,,
